ST004D01T,IC177Q01JA,IC177Q02JA,IC177Q03JA,IC177Q04JA,IC177Q05JA,IC177Q06JA,IC177Q07JA,IC178Q01JA,IC178Q02JA,IC178Q03JA,IC178Q04JA,IC178Q05JA,IC178Q06JA,IC178Q07JA,AGE,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE,PV6SCIE,PV7SCIE,PV8SCIE,PV9SCIE,PV10SCIE
2.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,15.67,394.68,404.812,404.494,409.184,416.017,396.189,411.667,366.923,404.331,479.364,532.384,482.619,526.422,425.563,491.519,453.954,507.304,481.176,492.445,536.952,429.817,467.539,437.34,403.595,443.511,417.449,440.563,469.202,453.094,468.478
1.0,,,,,,,,,,,,,,,16.17,434.091,421.552,432.714,392.102,451.341,455.975,421.988,416.025,415.573,397.075,487.35,440.222,407.873,438.332,478.784,473.973,478.648,468.52,467.052,367.593,441.829,478.789,439.043,427.372,473.572,456.155,504.5,432.667,430.318,444.592
1.0,,,,,,,,,,,,,,,15.75,393.338,376.439,404.81,454.562,402.566,464.026,428.177,364.256,379.421,470.95,454.906,467.352,479.335,431.764,418.135,339.455,442.199,409.824,455.59,472.728,468.708,382.945,466.157,430.916,435.567,488.269,423.501,491.945,446.907,456.488
1.0,,,,,,,,,,,,,,,16.0,336.537,359.607,381.043,373.667,381.2,294.389,382.961,389.396,417.267,337.118,368.38,360.214,398.894,352.079,440.354,294.37,397.203,413.287,456.448,444.459,432.314,425.922,426.889,415.454,455.338,386.589,431.8,390.301,502.827,423.773
2.0,2.0,,3.0,3.0,3.0,6.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,15.92,495.605,531.547,503.237,501.487,511.287,508.542,484.399,507.968,499.179,531.96,585.145,596.444,575.963,566.599,547.502,607.541,562.667,583.614,571.822,646.622,619.896,601.287,570.691,552.432,577.298,562.606,546.816,590.084,547.667,590.951
1.0,2.0,4.0,4.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,15.75,388.477,372.914,320.497,344.697,382.517,346.649,404.557,359.25,311.798,392.021,473.007,439.687,474.819,426.365,478.162,430.151,516.579,443.7,492.938,473.574,525.555,429.806,394.042,410.631,502.311,440.771,479.149,490.511,457.119,479.866
1.0,,,,,,,,,,,,,,,16.17,313.446,319.671,350.356,274.411,300.135,316.13,371.145,346.462,277.917,307.971,315.71,325.462,298.351,318.721,253.254,270.18,331.98,319.794,301.848,304.576,326.399,356.136,401.121,353.046,287.622,345.882,305.098,349.449,291.732,310.754
2.0,,,,,,,,,,,,,,,15.25,421.478,339.511,431.931,419.968,395.866,401.1,395.575,402.678,430.043,408.31,414.934,406.883,429.67,441.905,400.101,419.801,406.264,411.387,435.05,426.696,409.137,387.178,392.356,418.404,402.261,358.46,383.081,388.822,395.822,414.628
1.0,3.0,5.0,3.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16.08,499.071,450.74,441.676,452.583,442.094,486.135,467.199,434.698,474.489,450.676,501.22,514.076,490.671,530.785,478.515,426.751,501.613,493.693,516.646,466.501,494.736,465.669,555.907,490.867,510.154,539.648,532.119,443.678,563.467,463.346
1.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,,,3.0,,3.0,,,15.5,306.681,278.864,357.225,293.535,356.01,234.371,295.727,288.881,347.595,311.569,278.93,247.852,362.976,281.963,358.892,252.208,313.534,417.997,255.338,326.609,364.578,275.224,407.757,383.341,343.226,294.401,357.04,337.596,373.728,422.57
1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,15.58,486.405,406.578,435.558,475.545,327.963,451.562,441.544,399.214,361.981,490.994,467.203,382.858,432.532,461.814,443.717,426.909,427.66,412.345,450.02,421.401,418.818,425.11,450.085,471.434,447.23,483.139,446.388,450.348,413.601,489.155
1.0,4.0,,,4.0,4.0,,4.0,3.0,4.0,2.0,5.0,,5.0,3.0,15.5,327.009,296.79,331.701,337.786,314.985,327.353,288.893,352.225,315.67,282.968,321.25,278.74,313.598,471.121,337.052,291.596,331.296,414.264,323.419,329.723,264.124,277.278,329.044,325.541,271.159,240.632,253.827,255.971,276.277,282.529
