ST004D01T,ST326Q01JA,ST326Q02JA,ST326Q03JA,ST326Q04JA,ST326Q05JA,ST326Q06JA,IC170Q01JA,IC170Q02JA,IC170Q03JA,IC170Q04JA,IC170Q05JA,IC170Q06JA,IC170Q07JA,IC171Q01JA,IC171Q02JA,IC171Q03JA,IC171Q04JA,IC171Q05JA,IC171Q06JA,IC177Q01JA,IC177Q02JA,IC177Q03JA,IC177Q04JA,IC177Q05JA,IC177Q06JA,IC177Q07JA,IC178Q01JA,IC178Q02JA,IC178Q03JA,IC178Q04JA,IC178Q05JA,IC178Q06JA,IC178Q07JA,AGE,PV1MATH,PV2MATH,PV3MATH,PV4MATH,PV5MATH,PV6MATH,PV7MATH,PV8MATH,PV9MATH,PV10MATH,PV1READ,PV2READ,PV3READ,PV4READ,PV5READ,PV6READ,PV7READ,PV8READ,PV9READ,PV10READ,PV1SCIE,PV2SCIE,PV3SCIE,PV4SCIE,PV5SCIE,PV6SCIE,PV7SCIE,PV8SCIE,PV9SCIE,PV10SCIE
2.0,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,15.42,575.451,522.176,570.393,585.101,550.323,558.014,514.887,587.722,544.404,557.41,621.204,653.923,690.564,583.431,564.272,548.438,593.991,661.158,613.494,613.977,674.87,622.742,679.601,605.269,594.349,578.659,590.514,660.441,586.51,623.729
2.0,,,,,,,5.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,3.0,2.0,3.0,2.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,15.5,442.014,469.694,487.517,483.146,454.681,449.919,464.332,480.632,480.149,465.611,405.666,411.319,527.881,459.29,510.823,472.936,522.331,553.043,492.212,486.087,472.882,471.187,487.123,464.779,467.596,527.087,465.956,480.678,483.54,473.408
2.0,,,,,,,5.0,4.0,1.0,5.0,3.0,2.0,5.0,4.0,3.0,1.0,4.0,1.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,3.0,2.0,1.0,16.08,680.277,710.878,624.297,679.457,681.887,687.873,689.967,696.391,662.936,687.439,714.523,656.899,685.689,743.075,678.371,675.301,700.426,643.795,600.024,673.67,716.256,701.787,660.085,725.534,730.247,671.361,712.505,689.126,604.316,671.398
1.0,,,,,,,4.0,5.0,1.0,5.0,3.0,2.0,4.0,3.0,5.0,2.0,5.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0,15.58,461.899,427.117,486.257,440.236,444.874,454.021,503.653,462.226,436.313,424.546,508.94,488.096,545.275,516.693,550.254,498.224,600.398,496.077,586.169,520.122,510.311,535.225,524.17,475.124,502.895,466.239,571.214,510.284,528.45,481.846
1.0,,,,,,,4.0,4.0,1.0,4.0,5.0,2.0,4.0,3.0,4.0,1.0,3.0,1.0,4.0,4.0,5.0,3.0,2.0,4.0,2.0,1.0,1.0,5.0,5.0,2.0,3.0,1.0,2.0,16.33,501.214,503.346,482.285,511.917,480.51,531.86,532.007,478.978,498.468,498.232,597.437,583.263,575.122,564.481,533.716,560.097,535.124,547.316,596.816,611.251,582.918,501.644,602.567,545.923,513.651,539.291,577.015,536.034,555.936,587.754
1.0,,,,,,,6.0,5.0,1.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,3.0,,2.0,3.0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,3.0,1.0,2.0,15.58,322.342,368.639,375.99,360.458,414.57,371.14,363.172,332.307,409.939,343.099,463.596,476.169,427.667,426.446,418.056,416.295,432.245,397.052,425.803,379.053,399.02,418.413,476.991,398.482,498.894,476.335,413.636,350.543,426.531,283.277
2.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.5,306.157,335.759,379.381,299.245,332.714,302.188,343.705,347.754,340.813,355.287,401.622,340.854,403.917,346.882,385.463,274.655,351.87,409.125,321.552,278.967,345.245,318.829,364.826,345.569,357.138,314.976,332.358,339.029,372.386,304.528
1.0,,,,,,,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,16.08,443.956,466.646,460.984,496.267,419.096,444.044,474.894,454.525,485.279,435.153,562.822,553.266,551.576,506.76,527.87,489.545,585.213,542.561,548.811,547.075,501.518,519.338,504.375,499.55,472.564,472.123,516.504,514.69,494.189,502.25
1.0,,,,,,,5.0,5.0,1.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,,,,,,,,,,,,,,,16.25,524.433,506.157,536.67,483.884,487.455,477.197,480.74,475.172,498.036,503.934,490.284,522.21,495.392,503.13,469.622,452.587,430.431,474.866,470.442,487.975,474.929,466.201,504.631,489.776,476.002,462.893,406.166,473.114,436.105,458.487
2.0,,,,,,,5.0,5.0,2.0,5.0,5.0,3.0,2.0,4.0,5.0,,4.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,15.83,550.033,551.976,529.313,512.173,506.9,511.908,537.839,539.358,536.823,532.569,537.284,589.097,535.245,585.597,582.946,439.164,552.456,518.843,527.548,612.596,546.699,594.872,495.744,532.545,539.381,493.871,564.732,525.954,548.484,547.475
2.0,,,,,,,4.0,5.0,1.0,4.0,2.0,1.0,5.0,5.0,5.0,6.0,5.0,1.0,5.0,4.0,3.0,5.0,2.0,3.0,3.0,2.0,5.0,3.0,5.0,2.0,3.0,3.0,2.0,15.75,536.222,536.561,528.887,490.205,501.865,533.97,497.462,553.293,524.81,491.781,575.208,616.077,564.342,613.211,611.772,603.007,638.65,642.687,536.025,589.964,613.868,641.871,652.91,587.029,600.559,596.4,632.445,635.759,605.214,587.57
1.0,,,,,,,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,6.0,6.0,,5.0,6.0,16.25,457.202,407.027,400.787,458.214,389.21,423.47,463.026,454.751,456.27,408.556,521.598,566.254,504.7,491.077,496.254,487.024,477.1,547.464,517.166,515.444,476.031,465.893,444.47,473.567,457.426,455.92,491.883,457.244,463.554,480.251
